arbres_espece,arbres_genre,com_adresse,lat,lon,species_count,rarity_norm,size_raw,size_norm,nn_dist_m,isolation_norm,conservation_score,cluster
x hispanica,Platanus,28 Boulevard Jourdan,48.824133933850376,2.3379656946839114,39,0.0,26.0,0.5476190476190477,189.02539397105116,0.1077401826420935,0.19280471591799908,-1
araucana,Araucaria,Allee de Longchamp / Route de Sevres à Neuilly,48.871660039793895,2.250432980599612,1,1.0,12.0,0.21428571428571427,293.7132207116644,0.16740986689184503,0.6436270752316324,-1
x hispanica,Platanus,Cimetiere Du Pere Lachaise / Div 45,48.86125585510327,2.3950502620751446,39,0.0,26.0,0.5476190476190477,364.8421471426727,0.2079517399376777,0.23543838880869283,-1
ilex,Quercus,28 Boulevard Jourdan,48.82183889078391,2.3357861462281275,4,0.23026315789473686,17.0,0.33333333333333337,63.06645856069416,0.0359464494223449,0.20171255025376528,-1
x hispanica,Platanus,3 Place de Varsovie,48.86261831314692,2.289804250957924,39,0.0,28.0,0.5952380952380952,36.83733652869553,0.02099644541017458,0.17615963760647207,-1
x hispanica,Platanus,10 Avenue Foch,48.873134003251636,2.286795534244933,39,0.0,24.0,0.5,100.72716505035893,0.05741219701522211,0.1511344546356268,-1
x hispanica,Platanus,,48.86826040521768,2.29356204045388,39,0.0,16.0,0.30952380952380953,958.4500189641356,0.5462947486956622,0.2780874681943212,-1
atlantica,Cedrus,Route du Pesage / Route de la Tourelle,48.82012550824947,2.445117758922643,8,0.10197368421052633,22.0,0.45238095238095233,853.4886174382369,0.486469133029958,0.3712565877714426,-1
virginiana,Diospyros,31 Route de ceinture du Lac Daumesnil,48.83138289735175,2.4114313653728985,1,1.0,15.0,0.2857142857142857,39.25840787488854,0.02237640110580097,0.6123128528617059,-1
cerris,Quercus,,48.868295444671816,2.3631894428551883,2,0.4868421052631579,7.0,0.09523809523809523,651.0698929224307,0.37109505607999793,0.3885467434063881,-1
giganteum,Sequoiadendron,Route de la Porte Saint-James,48.87647407797467,2.2574997537301686,5,0.17894736842105266,29.0,0.6190476190476191,445.26597654467736,0.2537914966312972,0.3868363384157826,-1
x hispanica,Platanus,31 Route de ceinture du Lac Daumesnil,48.832341186823534,2.411435728413432,39,0.0,35.0,0.7619047619047619,10.925452519283896,0.0062272598678219885,0.24078239867257206,0
fraxinifolia,Pterocarya,Chemin de Ceinture du lac Inferieur,48.863110850991035,2.2618006494055565,6,0.14473684210526316,28.0,0.5952380952380952,52.80366930573971,0.03009689256907129,0.26213311839621184,-1
atlantica,Cedrus,20 Rue Saillard,48.831967357296605,2.325816813761035,8,0.10197368421052633,20.0,0.40476190476190477,1754.4558523627377,1.0,0.5694725684245401,-1
hippocastanum,Aesculus,6 Place Saint Pierre,48.88447160112603,2.343107754999368,8,0.10197368421052633,21.0,0.4285714285714286,92.93454274793223,0.05297057923844402,0.1767009545004512,-1
atlantica,Cedrus,Cimetiere Du Pere Lachaise / Div 4,48.860809632390676,2.391843780988739,8,0.10197368421052633,25.0,0.5238095238095238,364.8421471426727,0.2079517399376777,0.28315340565954444,-1
x hispanica,Platanus,31 Route de ceinture du Lac Daumesnil,48.832179973741376,2.410633579855882,39,0.0,29.0,0.6190476190476191,10.016270890859372,0.005709046983069077,0.17978526239160358,0
fraxinifolia,Pterocarya,,48.860033380573846,2.2691346154875127,6,0.14473684210526316,28.0,0.5952380952380952,717.1140495890354,0.4087387258125037,0.42322124532370775,-1
japonicum,Styphnolobium,2 Rue Saint Eleuthere,48.88595256938292,2.3416816325136365,2,0.4868421052631579,18.0,0.3571428571428571,159.73128129832838,0.0910432035569417,0.3808263053030655,-1
lotus,Diospyros,Cimetiere Du Pere Lachaise / Div 77,48.86208456965049,2.398576913530044,3,0.3157894736842105,10.0,0.16666666666666666,29.64454598111821,0.01689671811416383,0.17121669113047738,-1
cappadocicum,Acer,Avenue de la Belle Gabrielle,48.84094206801011,2.4641321193579624,1,1.0,18.0,0.3571428571428571,1186.6813225450553,0.6763814096244961,0.9209389114326918,-1
x hispanica,Platanus,31 Route de ceinture du Lac Daumesnil,48.832403483414666,2.4114617313961713,39,0.0,32.0,0.6904761904761905,10.925452519283896,0.0062272598678219885,0.21039406391839843,0
biloba,Ginkgo,Avenue de Saint-Maurice,48.833685773765076,2.4211119323803025,8,0.10197368421052633,25.0,0.5238095238095238,926.47510456416,0.5280697734949955,0.41934336116377047,-1
monspessulanum,Acer,1 Avenue Gordon Bennett,48.8462426877782,2.2513754114123214,2,0.4868421052631579,17.0,0.33333333333333337,108.4354839945621,0.061805763791965077,0.3582581808879442,-1
x hispanica,Platanus,,48.833818755961744,2.4112193540499645,39,0.0,26.0,0.5476190476190477,187.28028721436624,0.10674551141435369,0.19238154628665444,-1
x hispanica,Platanus,31 Route de ceinture du Lac Daumesnil,48.83213592811154,2.4107051100274477,39,0.0,35.0,0.7619047619047619,0.0,0.0,0.23813309386806758,0
excelsior,Fraxinus,11 Boulevard d'Algerie,48.88193644668083,2.3982637667416813,1,1.0,21.0,0.4285714285714286,189.5347705469803,0.10803051572470891,0.7095299250836175,-1
ulmoides,Eucommia,,48.857772504306936,2.2972457519078247,2,0.4868421052631579,15.0,0.2857142857142857,255.654792674399,0.14571742704731325,0.3736983910307906,-1
x hispanica,Platanus,31 Route de ceinture du Lac Daumesnil,48.83209713069508,2.4112534014825378,39,0.0,24.0,0.5,14.568544974283625,0.00830373984883351,0.13024191533676183,0
colurna,Corylus,8 Rue General Blaise,48.86185385430401,2.379087765579776,6,0.14473684210526316,20.0,0.40476190476190477,1430.9438479093847,0.8156055029725159,0.5152817395249077,-1
speciosa,Catalpa,1 Avenue Gordon Bennett,48.84758185001984,2.2532779021891103,1,1.0,3.0,0.0,59.87177612069224,0.03412555296849591,0.49575803408334795,-1
grandiflora,Magnolia,1 Avenue Gordon Bennett,48.84726186005018,2.2525207708771546,6,0.14473684210526316,10.0,0.16666666666666666,38.22432686566692,0.021786998409900116,0.07626777603444085,1
pseudoacacia,Robinia,2 Rue du Fouarre,48.852191438077774,2.3472861856377225,1,1.0,15.0,0.2857142857142857,391.8787281927964,0.22336197725639587,0.6978194904252522,-1
distichum,Taxodium,Chemin de Ceinture du lac Inferieur,48.86017854998492,2.2595002583960007,4,0.23026315789473686,32.0,0.6904761904761905,4.228110769005486,0.002409927136845,0.3393865571047975,-1
orientalis,Platanus,,48.86612721531167,2.2625479335146435,6,0.14473684210526316,26.0,0.5476190476190477,517.1622501221341,0.29477074012758325,0.35447619328406066,-1
x hispanica,Platanus,,48.85647419892438,2.394618477682572,39,0.0,23.0,0.47619047619047616,257.3407466742791,0.1466783825467689,0.17898211991182034,-1
giganteum,Sequoiadendron,Carrefour de la Grande Cascade / Carrefour de la Croix Catelan,48.864817944941024,2.252676241273715,5,0.17894736842105266,36.0,0.7857142857142857,56.60282512475656,0.03226232512407146,0.3634958161401193,-1
x hispanica,Platanus,31 Route de ceinture du Lac Daumesnil,48.83221393770444,2.411387908957162,39,0.0,32.0,0.6904761904761905,22.167774987184792,0.012635128411656127,0.21312020627958922,0
sylvatica,Fagus,Allee de Longchamp / Route de Sevres à Neuilly,48.87308761417698,2.248570197282071,11,0.06698564593301437,16.0,0.30952380952380953,22.894215209381557,0.013049182844099361,0.0892227765400804,-1
sylvatica,Fagus,,48.83634112211272,2.290209487098298,11,0.06698564593301437,11.0,0.19047619047619044,14.43661861419419,0.008228544819040217,0.03652467568131222,-1
kaki,Diospyros,Carrefour de la Grande Cascade / Carrefour de la Croix Catelan,48.86482426835401,2.2521678603116206,2,0.4868421052631579,16.0,0.30952380952380953,56.60282512475656,0.03226232512407146,0.3355598733134755,-1
sylvatica,Fagus,Avenue Daumesnil / Esplanade Saint-Louis,48.839886238480304,2.4338831267379852,11,0.06698564593301437,16.0,0.30952380952380953,79.98908869737956,0.045591964363000476,0.1030676696808766,-1
ulmoides,Eucommia,Cimetiere Du Pere Lachaise / Div 75,48.85780390697412,2.3957407859010877,2,0.4868421052631579,14.0,0.26190476190476186,257.3407466742791,0.1466783825467689,0.36397777183635127,-1
